"entry_id","contest_id","contest_name","PG","PG","SG","SG","SF","SF","PF","PF","C","","Instructions"
"1563170088","29270-221281711","NBA Beginner Mini Swat (Top 60 Win)","29270-9524","29270-12474","29270-24544","29270-9556","29270-23572","29270-9874","29270-23831","29270-55062","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"1563170076","29270-221281711","NBA Beginner Mini Swat (Top 60 Win)","29270-9524","29270-12474","29270-24544","29270-9556","29270-23572","29270-9874","29270-23831","29270-55062","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"","","","","","","","","","","","","","4) You can not use this form to create new entries"
"","","","","","","","","","","","",""
"","","","","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","","","","29270-23826:Alex Poythress","29270-23826","PF","Alex","Alex Poythress","Poythress","18.399999618530273","2","3900","ATL@CLE","ATL","CLE","","","","",""
"","","","","","","","","","","","","","29270-9506:JR Smith","29270-9506","SG","JR","JR Smith","Smith","-1","1","3900","ATL@CLE","CLE","ATL","GTD","Elbow","","",""
"","","","","","","","","","","","","","29270-67707:Marquese Chriss","29270-67707","PF","Marquese","Marquese Chriss","Chriss","19.59027777777778","72","3900","HOU@LAC","HOU","LAC","O","Ankle","","",""
"","","","","","","","","","","","","","29270-49336:DeAndre' Bembry","29270-49336","SF","DeAndre'","DeAndre' Bembry","Bembry","17.450000762939453","2","3900","ATL@CLE","ATL","CLE","","","","",""
"","","","","","","","","","","","","","29270-15590:Mason Plumlee","29270-15590","C","Mason","Mason Plumlee","Plumlee","15.5","2","3900","GS@DEN","DEN","GS","","","","",""
"","","","","","","","","","","","","","29270-70822:Juancho Hernangomez","29270-70822","SF","Juancho","Juancho Hernangomez","Hernangomez","13.949999809265137","2","3800","GS@DEN","DEN","GS","","","","",""
"","","","","","","","","","","","","","29270-18376:Damion Lee","29270-18376","SG","Damion","Damion Lee","Lee","22.380000813802084","15","3800","GS@DEN","GS","DEN","","","","",""
"","","","","","","","","","","","","","29270-40396:Monte Morris","29270-40396","PG","Monte","Monte Morris","Morris","8.699999809265137","2","3800","GS@DEN","DEN","GS","","","","",""
"","","","","","","","","","","","","","29270-49114:Frank Mason","29270-49114","SG","Frank","Frank Mason","Mason","17.100000381469727","2","3800","SAC@OKC","SAC","OKC","","","","",""
"","","","","","","","","","","","","","29270-23772:Yogi Ferrell","29270-23772","PG","Yogi","Yogi Ferrell","Ferrell","14.050000190734863","2","3800","SAC@OKC","SAC","OKC","","","","",""
"","","","","","","","","","","","","","29270-84705:Omari Spellman","29270-84705","PF","Omari","Omari Spellman","Spellman","16.600000381469727","1","3800","ATL@CLE","ATL","CLE","","","","",""
"","","","","","","","","","","","","","29270-9465:Raymond Felton","29270-9465","PG","Raymond","Raymond Felton","Felton","16.200000762939453","2","3800","SAC@OKC","OKC","SAC","","","","",""
"","","","","","","","","","","","","","29270-40206:Alex Abrines","29270-40206","SG","Alex","Alex Abrines","Abrines","12.649999618530273","2","3700","SAC@OKC","OKC","SAC","","","","",""
"","","","","","","","","","","","","","29270-9512: Nene","29270-9512","C","","Nene","Nene","13.571154080904448","52","3700","HOU@LAC","HOU","LAC","GTD","Calf","","",""
"","","","","","","","","","","","","","29270-17491:James Ennis III","29270-17491","SF","James","James Ennis III","Ennis III","16.100000381469727","2","3700","HOU@LAC","HOU","LAC","","","","",""
"","","","","","","","","","","","","","29270-9849:Gerald Green","29270-9849","SF","Gerald","Gerald Green","Green","12.800000190734863","2","3700","HOU@LAC","HOU","LAC","","","","",""
