"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"30347-15843","PG","Trey","Trey Burke","Burke","20.34666748046875","15","4900","NY@BOS","NY","BOS","","","","",""
"30347-15904","SF","Rodney","Rodney Hood","Hood","21.10666707356771","15","4900","LAL@CLE","CLE","LAL","","","","",""
"30347-9799","SG","Wesley","Wesley Matthews","Matthews","24.946152907151443","13","4900","BKN@DAL","DAL","BKN","O","Hamstring","","",""
"30347-12359","SF","Evan","Evan Turner","Turner","22.80000035903033","17","4800","POR@MIL","POR","MIL","","","","",""
"30347-9481","PF","Taj","Taj Gibson","Gibson","25.88235294117647","17","4800","DEN@MIN","MIN","DEN","","","","",""
"30347-9538","SF","Trevor","Trevor Ariza","Ariza","24.735713413783483","14","4800","PHO@CHI","PHO","CHI","","","","",""
"30347-15800","SF","Jae","Jae Crowder","Crowder","24.00588271197151","17","4800","SAC@UTA","UTA","SAC","","","","",""
"30347-40396","SG","Monte","Monte Morris","Morris","20.064706241383274","17","4800","DEN@MIN","DEN","MIN","","","","",""
"30347-9758","SG","Danny","Danny Green","Green","21.11111111111111","18","4800","TOR@ATL","TOR","ATL","","","","",""
"30347-12368","SF","Nemanja","Nemanja Bjelica","Bjelica","25.705882352941178","17","4700","SAC@UTA","SAC","UTA","","","","",""
"30347-9500","PF","Dirk","Dirk Nowitzki","Nowitzki","23.96883085176542","77","4700","BKN@DAL","DAL","BKN","O","Ankle","","",""
"30347-9570","C","Pau","Pau Gasol","Gasol","21.666666666666668","9","4700","MEM@SA","SA","MEM","O","Foot","","",""
"30347-15947","SG","Reggie","Reggie Bullock","Bullock","18.40909090909091","11","4700","DET@HOU","DET","HOU","","","","",""
"30347-11074","SG","Garrett","Garrett Temple","Temple","21.318750381469727","16","4700","MEM@SA","MEM","SA","","","","",""
"30347-23407","PF","PJ","P.J. Tucker","Tucker","21.086665852864584","15","4700","DET@HOU","HOU","DET","","","","",""
"30347-16363","SF","Joe","Joe Harris","Harris","20.944444444444443","18","4700","BKN@DAL","BKN","DAL","","","","",""
"30347-14512","PF","Marcus","Marcus Morris","Morris","23.03125","16","4600","NY@BOS","BOS","NY","","","","",""
"30347-9451","PF","Marvin","Marvin Williams","Williams","18.293750762939453","16","4600","IND@CHA","CHA","IND","","","","",""
"30347-84670","SF","Mikal","Mikal Bridges","Bridges","15.65625","16","4600","PHO@CHI","PHO","CHI","","","","",""
"30347-84674","PF","Kevin","Kevin Knox","Knox","12.827273282137783","11","4600","NY@BOS","NY","BOS","","","","",""
"30347-9962","PF","Jonas","Jonas Jerebko","Jerebko","16.47777811686198","18","4600","OKC@GS","GS","OKC","","","","",""
"30347-55056","PF","Dario","Dario Saric","Saric","21.487499237060547","16","4600","DEN@MIN","MIN","DEN","","","","",""
"30347-55060","SG","Bogdan","Bogdan Bogdanovic","Bogdanovic","20.166666666666668","6","4600","SAC@UTA","SAC","UTA","","","","",""
"30347-12443","PG","Jeremy","Jeremy Lin","Lin","17.399999281939337","17","4500","TOR@ATL","ATL","TOR","","","","",""
"30347-23788","PG","Bryn","Bryn Forbes","Forbes","20.012500762939453","16","4500","MEM@SA","SA","MEM","","","","",""
"30347-24247","PG","Fred","Fred VanVleet","VanVleet","19.685714721679688","14","4500","TOR@ATL","TOR","ATL","","","","",""
"30347-84689","SG","Josh","Josh Okogie","Okogie","17.092857360839844","14","4500","DEN@MIN","MIN","DEN","","","","",""
"30347-82744","PG","Shaquille","Shaquille Harrison","Harrison","20.737499237060547","8","4500","PHO@CHI","CHI","PHO","","","","",""
"30347-15501","SG","Allen","Allen Crabbe","Crabbe","13.411764705882353","17","4400","BKN@DAL","BKN","DAL","","","","",""
"30347-14533","PG","Shelvin","Shelvin Mack","Mack","21.818750381469727","16","4400","MEM@SA","MEM","SA","","","","",""
"30347-15814","C","Alex","Alex Len","Len","21.441176470588236","17","4400","TOR@ATL","ATL","TOR","GTD","Back","","",""
"30347-40562","SG","Josh","Josh Hart","Hart","22.337499618530273","16","4400","LAL@CLE","LAL","CLE","","","","",""
"30347-84678","SF","Miles","Miles Bridges","Bridges","16.793332926432292","15","4400","IND@CHA","CHA","IND","","","","",""
"30347-40830","PG","Delon","Delon Wright","Wright","12.799999530498798","13","4400","TOR@ATL","TOR","ATL","","","","",""
"30347-101331","SF","Gary","Gary Clark","Clark","13.192856924874443","14","4400","DET@HOU","HOU","DET","","","","",""
"30347-67026","SG","Jaylen","Jaylen Brown","Brown","19.356250762939453","16","4300","NY@BOS","BOS","NY","","","","",""
"30347-24546","SF","Denzel","Denzel Valentine","Valentine","22.709090592025163","77","4300","PHO@CHI","CHI","PHO","O","Ankle","","",""
"30347-58350","SF","Stanley","Stanley Johnson","Johnson","18.123077392578125","13","4300","DET@HOU","DET","HOU","","","","",""
"30347-58461","PF","Trey","Trey Lyles","Lyles","19.94705918255974","17","4200","DEN@MIN","DEN","MIN","","","","",""
"30347-14515","SG","Iman","Iman Shumpert","Shumpert","20.15333251953125","15","4200","SAC@UTA","SAC","UTA","","","","",""
"30347-23740","PG","Ryan","Ryan Arcidiacono","Arcidiacono","17.862499237060547","16","4200","PHO@CHI","CHI","PHO","","","","",""
"30347-14529","PG","Cory","Cory Joseph","Joseph","19.388235653147976","17","4200","IND@CHA","IND","CHA","","","","",""
"30347-84709","C","Mitchell","Mitchell Robinson","Robinson","18.118749618530273","16","4200","NY@BOS","NY","BOS","","","","",""
"30347-84827","SG","Allonzo","Allonzo Trier","Trier","17.700000339084202","18","4200","NY@BOS","NY","BOS","","","","",""
"30347-16376","SF","Dorian","Dorian Finney-Smith","Finney-Smith","19.143749237060547","16","4200","BKN@DAL","DAL","BKN","","","","",""
"30347-9495","PG","J.J.","J.J. Barea","Barea","21.2","15","4100","BKN@DAL","DAL","BKN","GTD","Groin","","",""
"30347-15758","SF","Michael","Michael Kidd-Gilchrist","Kidd-Gilchrist","21.7999995304988","13","4100","IND@CHA","CHA","IND","O","Ankle","","",""
"30347-68090","SF","OG","OG Anunoby","Anunoby","15.792307927058292","13","4100","TOR@ATL","TOR","ATL","GTD","Wrist","","",""
"30347-15993","SG","Pat","Pat Connaughton","Connaughton","17.36923100398137","13","4100","POR@MIL","MIL","POR","","","","",""
"30347-42661","PF","Noah","Noah Vonleh","Vonleh","23.072221544053818","18","4100","NY@BOS","NY","BOS","","","","",""
"30347-84682","PF","Michael","Michael Porter Jr.","Porter Jr.","0","0","4100","DEN@MIN","DEN","MIN","O","Back","","",""
"30347-17230","SG","Langston","Langston Galloway","Galloway","15.530768761268028","13","4100","DET@HOU","DET","HOU","","","","",""
"30347-12365","PF","Ed","Ed Davis","Davis","18.655554877387154","18","4000","BKN@DAL","BKN","DAL","","","","",""
"30347-23670","SG","Marcus","Marcus Smart","Smart","18.658824247472428","17","4000","NY@BOS","BOS","NY","","","","",""
"30347-12511","PG","Ish","Ish Smith","Smith","19.285714285714285","14","4000","DET@HOU","DET","HOU","","","","",""
"30347-17894","C","Mike","Mike Muscala","Muscala","16.392308161808895","13","4000","NO@PHI","PHI","NO","","","","",""
"30347-49675","PG","Derrick","Derrick White","White","14.400000435965401","7","4000","MEM@SA","SA","MEM","","","","",""
"30347-63127","C","Willy","Willy Hernangomez","Hernangomez","17.35333251953125","15","4000","IND@CHA","CHA","IND","O","Ankle","","",""
"30347-23282","SF","Sam","Sam Dekker","Dekker","15.344445122612846","9","4000","LAL@CLE","CLE","LAL","O","Ankle","","",""
"30347-12369","SF","Lance","Lance Stephenson","Stephenson","17.693750381469727","16","3900","LAL@CLE","LAL","CLE","","","","",""
"30347-49336","SF","DeAndre'","DeAndre' Bembry","Bembry","20.46470552332261","17","3900","TOR@ATL","ATL","TOR","","","","",""
"30347-9473","C","Tyson","Tyson Chandler","Chandler","13.215384850135216","13","3900","LAL@CLE","LAL","CLE","","","","",""
"30347-15636","SG","Kentavious","Kentavious Caldwell-Pope","Caldwell-Pope","12.8125","16","3900","LAL@CLE","LAL","CLE","","","","",""
"30347-9598","PF","Ersan","Ersan Ilyasova","Ilyasova","18.34375","16","3900","POR@MIL","MIL","POR","","","","",""
"30347-9787","SF","DeMarre","DeMarre Carroll","Carroll","15.942856924874443","7","3900","BKN@DAL","BKN","DAL","","","","",""
"30347-63124","PG","Emmanuel","Emmanuel Mudiay","Mudiay","19.154545177112926","11","3900","NY@BOS","NY","BOS","","","","",""
"30347-42677","PG","Terry","Terry Rozier","Rozier","18.988234576056986","17","3900","NY@BOS","BOS","NY","","","","",""
"30347-9940","SF","Dante","Dante Cunningham","Cunningham","14.943750381469727","16","3900","MEM@SA","SA","MEM","","","","",""
"30347-42733","SG","David","David Nwaba","Nwaba","11.9272724498402","11","3900","LAL@CLE","CLE","LAL","","","","",""
"30347-80815","PF","Zach","Zach Collins","Collins","17.923530129825366","17","3900","POR@MIL","POR","MIL","","","","",""
"30347-17491","SF","James","James Ennis III","Ennis III","15.691666920979818","12","3800","DET@HOU","HOU","DET","","","","",""
"30347-41082","C","Damian","Damian Jones","Jones","15.68333265516493","18","3800","OKC@GS","GS","OKC","","","","",""
"30347-17542","PF","Alan","Alan Williams","Williams","13.88000030517578","5","3800","BKN@DAL","BKN","DAL","","","","",""
"30347-15590","C","Mason","Mason Plumlee","Plumlee","17.55294081744026","17","3800","DEN@MIN","DEN","MIN","","","","",""
"30347-9636","SF","Wilson","Wilson Chandler","Chandler","11.324999809265137","8","3800","NO@PHI","PHI","NO","","","","",""
"30347-48567","PG","Cameron","Cameron Payne","Payne","16.22000020345052","15","3800","PHO@CHI","CHI","PHO","","","","",""
"30347-9664","SG","Andre","Andre Iguodala","Iguodala","15.362500190734863","16","3800","OKC@GS","GS","OKC","","","","",""
"30347-9702","PG","Tony","Tony Parker","Parker","18.426666259765625","15","3800","IND@CHA","CHA","IND","","","","",""
"30347-63123","SF","Mario","Mario Hezonja","Hezonja","16.168750762939453","16","3800","NY@BOS","NY","BOS","","","","",""
"30347-84719","PG","Aaron","Aaron Holiday","Holiday","7.385714394705636","7","3800","IND@CHA","IND","CHA","","","","",""
"30347-12348","SF","Wesley","Wesley Johnson","Johnson","13.181818181818182","11","3700","NO@PHI","NO","PHI","","","","",""
"30347-15560","PG","Shabazz","Shabazz Napier","Napier","13.221429007393974","14","3700","BKN@DAL","BKN","DAL","","","","",""
"30347-58574","PF","Jonah","Jonah Bolden","Bolden","5.633333206176758","6","3700","NO@PHI","PHI","NO","O","Leg","","",""
"30347-58576","C","Kevon","Kevon Looney","Looney","16.38888888888889","18","3700","OKC@GS","GS","OKC","","","","",""
"30347-23780","SF","Jake","Jake Layman","Layman","11.476470947265625","17","3700","POR@MIL","POR","MIL","","","","",""
"30347-23825","C","Nerlens","Nerlens Noel","Noel","19.266666666666666","15","3700","OKC@GS","OKC","GS","O","Illness","","",""
"30347-9512","C","","Nene","Nene","13.571154080904448","52","3700","DET@HOU","HOU","DET","O","Calf","","",""
"30347-9677","SF","Jared","Jared Dudley","Dudley","13.38888888888889","18","3700","BKN@DAL","BKN","DAL","","","","",""
"30347-66114","SG","Antonio","Antonio Blakeney","Blakeney","15.46470552332261","17","3700","PHO@CHI","CHI","PHO","","","","",""
"30347-42665","PG","Andrew","Andrew Harrison","Harrison","10.280000305175781","5","3700","LAL@CLE","CLE","LAL","","","","",""
"30347-9939","PG","Patty","Patty Mills","Mills","18.337499618530273","16","3700","MEM@SA","SA","MEM","","","","",""
"30347-84699","SG","Hamidou","Hamidou Diallo","Diallo","13.040000406901042","15","3700","OKC@GS","OKC","GS","","","","",""
"30347-16196","PF","Dwight","Dwight Powell","Powell","18.313334147135418","15","3700","BKN@DAL","DAL","BKN","GTD","Knee","","",""
"30347-16201","PG","Michael","Michael Carter-Williams","Carter-Williams","11.244444105360243","9","3700","DET@HOU","HOU","DET","","","","",""
"30347-60233","SG","Dillon","Dillon Brooks","Brooks","13.145455100319602","11","3700","MEM@SA","MEM","SA","O","Knee","","",""
