"","","","","","","","","","","","","","29261-9455:Rajon Rondo","29261-9455","PG","Rajon","Rajon Rondo","Rondo","34.29999923706055","1","4700","HOU@LAL","LAL","HOU","","","","",""
"","","","","","","","","","","","","","29261-9466:D.J. Augustin","29261-9466","PG","D.J.","D.J. Augustin","Augustin","11.199999809265137","2","4700","ORL@PHI","ORL","PHI","","","","",""
"","","","","","","","","","","","","","29261-15636:Kentavious Caldwell-Pope","29261-15636","SG","Kentavious","Kentavious Caldwell-Pope","Caldwell-Pope","7.400000095367432","1","4700","HOU@LAL","LAL","HOU","","","","",""
"","","","","","","","","","","","","","29261-9500:Dirk Nowitzki","29261-9500","PF","Dirk","Dirk Nowitzki","Nowitzki","23.96883085176542","77","4700","MIN@DAL","DAL","MIN","O","Ankle","","",""
"","","","","","","","","","","","","","29261-15691:Cody Zeller","29261-15691","C","Cody","Cody Zeller","Zeller","18.350000381469727","2","4700","CHA@MIA","CHA","MIA","","","","",""
"","","","","","","","","","","","","","29261-23407:PJ Tucker","29261-23407","PF","PJ","PJ Tucker","Tucker","28.899999618530273","1","4700","HOU@LAL","HOU","LAL","","","","",""
"","","","","","","","","","","","","","29261-63127:Willy Hernangomez","29261-63127","C","Willy","Willy Hernangomez","Hernangomez","16.5","2","4600","CHA@MIA","CHA","MIA","","","","",""
"","","","","","","","","","","","","","29261-58153:Kelly Oubre Jr.","29261-58153","SF","Kelly","Kelly Oubre Jr.","Oubre Jr.","18.200000762939453","1","4600","TOR@WAS","WAS","TOR","","","","",""
"","","","","","","","","","","","","","29261-16405:Terrence Ross","29261-16405","SG","Terrence","Terrence Ross","Ross","24.5","2","4500","ORL@PHI","ORL","PHI","","","","",""
"","","","","","","","","","","","","","29261-24247:Fred VanVleet","29261-24247","PG","Fred","Fred VanVleet","VanVleet","24.799999237060547","2","4500","TOR@WAS","TOR","WAS","","","","",""
"","","","","","","","","","","","","","29261-14530:Bojan Bogdanovic","29261-14530","SF","Bojan","Bojan Bogdanovic","Bogdanovic","15.600000381469727","2","4500","BKN@IND","IND","BKN","","","","",""
"","","","","","","","","","","","","","29261-80817:Bam Adebayo","29261-80817","C","Bam","Bam Adebayo","Adebayo","17.700000762939453","2","4500","CHA@MIA","MIA","CHA","","","","",""
"","","","","","","","","","","","","","29261-16363:Joe Harris","29261-16363","SG","Joe","Joe Harris","Harris","21","2","4500","BKN@IND","BKN","IND","","","","",""
"","","","","","","","","","","","","","29261-70819:Dragan Bender","29261-70819","PF","Dragan","Dragan Bender","Bender","15.502438428925306","82","4400","PHO@DEN","PHO","DEN","","","","",""
"","","","","","","","","","","","","","29261-84682:Michael Porter Jr.","29261-84682","PF","Michael","Michael Porter Jr.","Porter Jr.","null","null","4400","PHO@DEN","DEN","PHO","O","Back","","",""
"","","","","","","","","","","","","","29261-16604:Justin Holiday","29261-16604","SG","Justin","Justin Holiday","Holiday","16.299999237060547","1","4400","DET@CHI","CHI","DET","","","","",""
"","","","","","","","","","","","","","29261-16196:Dwight Powell","29261-16196","PF","Dwight","Dwight Powell","Powell","28","1","4400","MIN@DAL","DAL","MIN","","","","",""
"","","","","","","","","","","","","","29261-15758:Michael Kidd-Gilchrist","29261-15758","SF","Michael","Michael Kidd-Gilchrist","Kidd-Gilchrist","28","2","4400","CHA@MIA","CHA","MIA","","","","",""
