Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Mikal Bridges,4200,PHO,SF,LAC,,33.00,34.55,8,234.5,163,115,1,24.74,6.68,21.82,5.2
Zach LaVine,6800,CHI,SG,IND,,35.00,46.02,3,200.5,210,97,-1,48.75,21.08,35.25,5.18
Marc Gasol,8400,MEM,C,BKN,,35.00,59.13,26,203.5,-175,103.75,103.75,57.16,25.23,43.27,5.15
Shabazz Napier,3600,BKN,PG,@ MEM,,22.00,38.58,9,203.5,150,99.75,99.75,33.84,15.17,18.54,5.15
Marcus Smart,4800,BOS,SG,DAL,,30.00,54.39,28,212.5,-175,108.25,108.25,35.21,13.81,24.57,5.12
Taj Gibson,4600,MIN,PF,ORL,,27.00,53.52,19,214,-160,109,109,31.99,13.07,23.47,5.1
Dewayne Dedmon,5500,ATL,C,@ MIL,,28.00,47.72,1,230,700,108.25, ,39.40,16.70,28.02,5.09
Donovan Mitchell,7400,UTA,SG,@ CLE,,35.00,54.74,29,208.5,-500,109.25,1,49.16,20.76,37.61,5.08
Andrew Wiggins,6500,MIN,SG,ORL,,37.00,46.64,19,214,-160,109,109,43.13,18.78,32.95,5.07
Gordon Hayward,5700,BOS,SF,DAL,,30.00,46.04,9,212.5,-175,108.25,108.25,42.14,19.83,28.61,5.02
C.J. McCollum,6400,POR,SG,OKC,,34.00,44.54,11,224,-111,112.5,-0.25,42.67,18.53,32.11,5.02
Emmanuel Mudiay,5900,NYK,PG,@ LAL,,32.00,33.97,1,222,180,108.25,108.25,39.91,18.41,29.5,5
Kentavious Caldwell-Pope,4500,LAL,SG,NYK,,30.00,33.71,9,222,-214,113.75,113.75,43.35,21.47,22.46,4.99
George Hill,3800,MIL,PG,ATL,,23.00,42.32,22,230,-1000,121.75,-0.5,32.37,16.87,18.81,4.95
Karl-Anthony Towns,10600,MIN,C,ORL,,37.00,47.37,2,214,-160,109,109,70.58,29.79,52.36,4.94
Evan Fournier,5300,ORL,SG,@ MIN,,31.00,37.55,22,214,150,105,105,33.52,14.37,26.13,4.93
Kevin Huerter,5000,ATL,SG,@ MIL,,35.00,34.75,14,230,700,108.25, ,24.53,5.16,24.58,4.92
Damian Lillard,8800,POR,PG,OKC,,35.00,46.58,5,224,-111,112.5,-0.25,55.28,20.97,43.32,4.92
Wesley Matthews,4800,DAL,SG,@ BOS,,32.00,33.24,6,212.5,150,104.25,104.25,35.14,14.89,23.52,4.9
Garrett Temple,3900,MEM,SG,BKN,,31.00,29.48,1,203.5,-175,103.75,103.75,30.58,13.73,19.02,4.88
Thomas Bryant ,6900,WAS,C,@ MIA,,34.00,54.25,14,212,210,102.75,-1,56.83,26.38,33.65,4.88
Al-Farouq Aminu,5700,POR,PF,OKC,,32.00,38.09,20,224,-111,112.5,-0.25,42.59,20.67,27.71,4.86
DeAndre Jordan,6800,DAL,C,@ BOS,,32.00,49.40,3,212.5,150,104.25,104.25,40.80,19.70,32.88,4.84
Deandre Ayton,8000,PHO,C,LAC,,34.00,60.21,28,234.5,163,115,1,43.81,11.82,38.63,4.83
Devin Booker,8800,PHO,SG,LAC,,36.00,53.19,26,234.5,163,115,1,63.50,23.69,42.53,4.83
Rodions Kurucs,4500,BKN,PF,@ MEM,,27.00,40.83,1,203.5,150,99.75,99.75,22.43,4.49,21.69,4.82
Dwyane Wade,5100,MIA,SG,WAS,,23.00,42.58,7,212,-250,109.25,-1.5,34.85,16.27,24.58,4.82
Kevin Knox,5800,NYK,PF,@ LAL,,36.00,50.09,29,222,180,108.25,108.25,32.72,10.28,27.94,4.82
Lauri Markkanen,7300,CHI,PF,IND,,34.00,46.40,10,200.5,210,97,-1,50.47,21.31,35.17,4.82
Rodney Hood,4000,CLE,SF,UTA,,25.00,38.98,1,208.5,400,99.25,-0.5,31.00,12.45,19.22,4.81
Nikola Vucevic,9800,ORL,C,@ MIN,,34.00,52.93,10,214,150,105,105,60.28,22.98,46.8,4.78
JaMychal Green,4600,MEM,PF,BKN,,24.00,59.13,26,203.5,-175,103.75,103.75,37.08,19.22,21.99,4.78
Malcolm Brogdon,5700,MIL,SG,ATL,,29.00,54.88,30,230,-1000,121.75,-0.5,41.87,19.30,27.19,4.77
Jordan Clarkson,5200,CLE,SG,UTA,,29.00,38.98,1,208.5,400,99.25,-0.5,40.86,22.05,24.75,4.76
D.J. Augustin,4900,ORL,PG,@ MIN,,30.00,34.85,2,214,150,105,105,37.84,12.54,23.3,4.76
Kris Dunn,7200,CHI,PG,IND,,33.00,46.02,3,200.5,210,97,-1,48.92,17.37,34.26,4.76
J.J. Barea,4500,DAL,PG,@ BOS,,20.00,48.63,10,212.5,150,104.25,104.25,32.17,15.44,21.33,4.74
Cedi Osman,4900,CLE,SF,UTA,,32.00,29.90,1,208.5,400,99.25,-0.5,29.96,10.42,23.15,4.72
Danilo Gallinari,7300,LAC,SF,@ PHO,,34.00,48.21,17,234.5,-188,119.5,1.5,49.15,20.23,34.47,4.72
Ricky Rubio,7000,UTA,PG,@ CLE,,32.00,44.60,26,208.5,-500,109.25,1,44.01,17.61,33.04,4.72
Trevor Ariza,6300,WAS,SF,@ MIA,,38.00,36.82,17,212,210,102.75,-1,39.13,14.59,29.71,4.72
Tobias Harris,7400,LAC,PF,@ PHO,,34.00,48.21,17,234.5,-188,119.5,1.5,46.88,19.29,34.88,4.71
Russell Westbrook,11600,OKC,PG,@ POR,,36.00,47.50,7,224,-105,111.5,-0.25,60.78,18.69,54.66,4.71
Al Horford,6000,BOS,C,DAL,,27.00,54.65,15,212.5,-175,108.25,108.25,38.18,15.67,28.18,4.7
De'Anthony Melton,4500,PHO,PG,LAC,,25.00,53.19,26,234.5,163,115,1,23.93,6.46,21.1,4.69
Eric Bledsoe,7200,MIL,PG,ATL,,30.00,54.88,30,230,-1000,121.75,-0.5,49.15,20.58,33.69,4.68
Josh Richardson,7200,MIA,SF,WAS,,34.00,42.58,7,212,-250,109.25,-1.5,49.58,19.77,33.73,4.68
Shai Gilgeous-Alexander,4400,LAC,PG,@ PHO,,24.00,44.74,27,234.5,-188,119.5,1.5,23.95,7.53,20.45,4.65
Noah Vonleh,6300,NYK,PF,@ LAL,,34.00,45.19,5,222,180,108.25,108.25,40.89,19.55,29.23,4.64
Collin Sexton,5400,CLE,PG,UTA,,34.00,48.13,8,208.5,400,99.25,-0.5,28.38,7.66,25.03,4.64
Trae Young,6600,ATL,PG,@ MIL,,30.00,45.57,2,230,700,108.25, ,30.51,6.42,30.57,4.63
Evan Turner,3500,POR,SF,OKC,,21.00,44.54,11,224,-111,112.5,-0.25,23.85,13.49,16.19,4.63
